house_is,price,rooms_number,area,equipped_kitchen_has,B,F,W,good,renovated,to_renovate
1,295000.0,3.0,242.0,1,0,0,1,1,0,0
1,675000.0,4.0,349.0,1,0,1,0,1,0,0
1,250000.0,5.0,303.0,1,0,0,1,0,0,1
1,545000.0,4.0,235.0,1,1,0,0,0,1,0
1,500000.0,2.0,220.0,1,1,0,0,1,0,0
1,189000.0,3.0,200.0,1,0,0,1,0,0,1
1,465000.0,4.0,400.0,1,0,0,1,1,0,0
1,650000.0,4.0,200.0,1,1,0,0,1,0,0
1,89000.0,3.0,180.0,1,0,0,1,0,0,1
1,129000.0,3.0,156.0,1,0,0,1,0,0,1
1,389000.0,6.0,255.0,1,0,1,0,1,0,0
1,399000.0,3.0,137.0,1,1,0,0,0,0,1
1,425000.0,5.0,400.0,1,0,0,1,1,0,0
1,1750000.0,7.0,550.0,1,1,0,0,1,0,0
1,198000.0,3.0,210.0,1,0,1,0,0,0,1
1,349000.0,1.0,118.0,1,0,0,1,0,0,1
1,445000.0,4.0,307.0,1,0,1,0,1,0,0
1,659000.0,3.0,232.0,1,0,1,0,0,1,0
1,695000.0,7.0,257.0,0,1,0,0,0,0,1
1,795000.0,5.0,265.0,1,0,1,0,0,1,0
1,845000.0,7.0,340.0,1,0,0,1,1,0,0
1,225000.0,4.0,270.0,1,0,0,1,0,0,1
1,280000.0,8.0,180.0,1,0,0,1,0,0,1
1,1395000.0,3.0,568.0,1,1,0,0,0,1,0
1,2375000.0,10.0,927.0,1,1,0,0,0,1,0
1,5000000.0,41.0,2049.0,1,1,0,0,1,0,0
1,5000000.0,41.0,2049.0,1,1,0,0,1,0,0
1,275000.0,3.0,205.0,1,0,0,1,0,0,1
1,520000.0,8.0,360.0,1,1,0,0,0,0,1
1,749000.0,8.0,350.0,1,1,0,0,1,0,0
1,2300000.0,5.0,500.0,1,1,0,0,0,0,1
1,1475000.0,5.0,260.0,1,1,0,0,1,0,0
1,520000.0,4.0,200.0,0,1,0,0,0,0,1
